System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:00:36:911, 25199648500710,    0.122,   27.000, 2700,   6.641,   0.807,   0.224,   5.059,   0.615,   0.171, 52,  0,   1.054,   0.128,   0.036,   0.053,   0.006,   0.002,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.295
16:00:37:023, 25199915371857,    0.233,   27.000, 2700,   6.875,   1.572,   0.437,   5.273,   1.201,   0.334, 52,  0,   1.087,   0.249,   0.069,   0.044,   0.011,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.158
16:00:37:127, 25200166226115,    0.337,   31.000, 2700,   7.495,   2.355,   0.654,   5.922,   1.820,   0.506, 53,  0,   1.098,   0.364,   0.101,   0.032,   0.015,   0.004,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.122
16:00:37:249, 25200458065036,    0.459,   59.000, 2700,   8.114,   3.342,   0.928,   6.473,   2.607,   0.724, 55,  0,   1.119,   0.500,   0.139,   0.057,   0.022,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   0.953
16:00:37:361, 25200728433513,    0.572,   31.000, 2700,   7.605,   4.198,   1.166,   6.019,   3.285,   0.913, 56,  0,   1.113,   0.625,   0.174,   0.059,   0.028,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.476
16:00:37:466, 25200978617661,    0.676,   25.000, 2700,   6.691,   4.896,   1.360,   5.165,   3.824,   1.062, 51,  0,   1.011,   0.731,   0.203,   0.012,   0.029,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:00:37:588, 25201273634936,    0.799,    8.000,  700,   1.804,   5.118,   1.422,   0.488,   3.884,   1.079, 48,  0,   0.801,   0.829,   0.230,   0.011,   0.031,   0.009,  15.000,  25.000,   0.000,  90.000,  90.000,   17,   0.000
16:00:37:698, 25201536584155,    0.908,    9.000,  700,   1.898,   5.326,   1.479,   0.467,   3.935,   1.093, 47,  0,   0.769,   0.913,   0.254,   0.175,   0.050,   0.014,  15.000,  25.000,   0.000,  90.000,  90.000,   11,   0.000
16:00:37:808, 25201800897567,    1.018,   10.000,  900,   2.626,   5.615,   1.560,   0.702,   4.012,   1.115, 47,  0,   0.812,   1.003,   0.279,   0.650,   0.122,   0.034,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.000
16:00:37:928, 25202089018700,    1.138,   20.000,  900,   2.769,   5.947,   1.652,   0.801,   4.108,   1.141, 47,  0,   0.835,   1.103,   0.306,   0.636,   0.198,   0.055,  15.000,  25.000,   0.000,  90.000,  90.000,   15,   0.000
16:00:38:025, 25202320486067,    1.235,   24.000, 2700,   5.528,   6.481,   1.800,   3.393,   4.436,   1.232, 52,  0,   0.979,   1.198,   0.333,   0.673,   0.263,   0.073,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.234
16:00:38:145, 25202609948369,    1.355,   27.000, 2700,   7.810,   7.423,   2.062,   5.797,   5.135,   1.426, 54,  0,   0.940,   1.311,   0.364,   0.617,   0.337,   0.094,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:00:38:251, 25202863878872,    1.461,   53.000, 2700,   9.063,   8.381,   2.328,   6.906,   5.866,   1.629, 57,  0,   1.090,   1.426,   0.396,   0.641,   0.405,   0.113,  15.000,  25.000,   0.000,  90.000,  90.000,    9,   1.107
16:00:38:363, 25203132993646,    1.573,   28.000, 2300,   7.739,   9.249,   2.569,   5.538,   6.487,   1.802, 52,  0,   1.074,   1.547,   0.430,   0.633,   0.476,   0.132,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.439
16:00:38:468, 25203384291830,    1.678,    8.000,  900,   3.152,   9.579,   2.661,   1.125,   6.604,   1.835, 48,  0,   0.833,   1.634,   0.454,   0.621,   0.541,   0.150,  15.000,  25.000,   0.000,  90.000,  90.000,   17,   0.000
16:00:38:590, 25203677852142,    1.800,   10.000,  900,   2.529,   9.889,   2.747,   0.634,   6.682,   1.856, 47,  0,   0.744,   1.725,   0.479,   0.657,   0.621,   0.173,  15.000,  25.000,   0.000,  90.000,  90.000,   32,   0.000
16:00:38:700, 25203940230968,    1.910,    5.000, 1000,   3.036,  10.221,   2.839,   1.059,   6.798,   1.888, 47,  0,   0.763,   1.808,   0.502,   0.715,   0.700,   0.194,  15.000,  25.000,   0.000,  90.000,  90.000,   11,   0.000
16:00:38:810, 25204205297594,    2.020,   21.000,  900,   2.596,  10.507,   2.919,   0.693,   6.874,   1.910, 46,  0,   0.788,   1.895,   0.526,   0.641,   0.770,   0.214,  15.000,  25.000,   0.000,  90.000,  90.000,   26,   0.000
16:00:38:931, 25204494975678,    2.141,   55.000, 2700,   7.813,  11.450,   3.181,   5.666,   7.558,   2.099, 52,  0,   1.243,   2.045,   0.568,   0.666,   0.851,   0.236,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
16:00:39:053, 25204788580176,    2.263,   26.000,  900,   5.020,  12.064,   3.351,   2.968,   7.921,   2.200, 48,  0,   0.977,   2.165,   0.601,   0.625,   0.927,   0.258,  15.000,  25.000,   0.000,  90.000,  90.000,   25,   0.000
16:00:39:157, 25205038102588,    2.367,   12.000,  900,   3.172,  12.394,   3.443,   1.127,   8.038,   2.233, 47,  0,   0.787,   2.247,   0.624,   0.701,   1.000,   0.278,  15.000,  25.000,   0.000,  90.000,  90.000,   39,   0.000
16:00:39:269, 25205307877897,    2.480,   18.000, 2700,   4.614,  12.913,   3.587,   2.517,   8.321,   2.311, 48,  0,   0.822,   2.339,   0.650,   0.731,   1.082,   0.301,  15.000,  25.000,   0.000,  90.000,  90.000,   13,   1.589
16:00:39:393, 25205603675256,    2.603,   17.000, 1000,   3.874,  13.390,   3.719,   1.718,   8.533,   2.370, 47,  0,   0.916,   2.452,   0.681,   0.632,   1.160,   0.322,  15.000,  25.000,   0.000,  90.000,  90.000,   23,   0.190
16:00:39:502, 25205865215020,    2.712,   15.000, 1000,   3.448,  13.766,   3.824,   1.217,   8.666,   2.407, 47,  0,   0.884,   2.548,   0.708,   0.679,   1.234,   0.343,  15.000,  25.000,   0.000,  90.000,  90.000,   29,   0.000
16:00:39:620, 25206148622678,    2.830,   25.000, 2700,   6.384,  14.520,   4.033,   4.240,   9.166,   2.546, 52,  0,   0.948,   2.660,   0.739,   0.681,   1.315,   0.365,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
16:00:39:738, 25206431546066,    2.948,   40.000, 2300,   7.733,  15.431,   4.286,   5.587,   9.825,   2.729, 50,  0,   1.234,   2.806,   0.779,   0.615,   1.387,   0.385,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:00:39:839, 25206675450752,    3.049,   26.000, 2700,   5.572,  15.998,   4.444,   3.553,  10.186,   2.829, 52,  0,   1.012,   2.909,   0.808,   0.620,   1.450,   0.403,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:00:39:967, 25206980960821,    3.177,   40.000, 2300,   6.919,  16.878,   4.688,   4.767,  10.793,   2.998, 50,  0,   1.188,   3.060,   0.850,   0.621,   1.529,   0.425,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.000
16:00:40:081, 25207255689203,    3.291,   57.000, 2700,   7.896,  17.782,   4.940,   5.843,  11.462,   3.184, 54,  0,   1.339,   3.213,   0.893,   0.629,   1.601,   0.445,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:00:40:183, 25207499489642,    3.393,   59.000, 2700,   9.537,  18.751,   5.209,   7.434,  12.217,   3.394, 54,  0,   1.416,   3.357,   0.932,   0.630,   1.665,   0.463,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   0.486
16:00:40:295, 25207769724894,    3.505,   55.000, 2700,   7.827,  19.633,   5.453,   5.758,  12.865,   3.574, 54,  0,   1.278,   3.501,   0.972,   0.670,   1.740,   0.483,  15.000,  25.000,   0.000,  90.000,  90.000,   17,   2.344
16:00:40:419, 25208065740349,    3.629,   44.000, 2300,   8.270,  20.653,   5.737,   6.144,  13.623,   3.784, 51,  0,   1.244,   3.654,   1.015,   0.625,   1.818,   0.505,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.267
16:00:40:532, 25208338618105,    3.742,    7.000,  900,   2.509,  20.938,   5.816,   0.640,  13.696,   3.804, 49,  0,   0.748,   3.739,   1.039,   0.626,   1.889,   0.525,  15.000,  25.000,   0.000,  90.000,  90.000,   16,   0.000
16:00:40:657, 25208636521905,    3.867,    7.000,  900,   2.564,  21.256,   5.904,   0.641,  13.775,   3.826, 48,  0,   0.751,   3.832,   1.065,   0.657,   1.970,   0.547,  15.000,  25.000,   0.000,  90.000,  90.000,   18,   0.000
16:00:40:768, 25208904999950,    3.978,   31.000, 1600,   2.989,  21.591,   5.997,   1.081,  13.896,   3.860, 47,  0,   0.799,   3.922,   1.089,   0.662,   2.044,   0.568,  15.000,  25.000,   0.000,  90.000,  90.000,   14,   0.000
