System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:55:34:483, 67673797855958,    0.107,   11.000, 2300,   3.333,   0.356,   0.099,   1.898,   0.202,   0.056, 44,  0,   0.906,   0.097,   0.027,   0.078,   0.008,   0.002,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   0.772
20:55:34:600, 67674080127836,    0.224,   37.000, 2700,   5.290,   0.978,   0.272,   3.848,   0.655,   0.182, 46,  0,   1.165,   0.234,   0.065,   0.064,   0.016,   0.004,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   0.487
20:55:34:714, 67674353521044,    0.338,   27.000, 2700,   6.080,   1.670,   0.464,   4.523,   1.170,   0.325, 49,  0,   1.156,   0.365,   0.101,   0.059,   0.023,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.248
20:55:34:815, 67674597478627,    0.440,   28.000,  700,   3.196,   1.995,   0.554,   1.800,   1.353,   0.376, 44,  0,   0.939,   0.461,   0.128,   0.043,   0.027,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,   30,   0.157
20:55:34:920, 67674847308062,    0.544,   29.000, 2200,   4.286,   2.441,   0.678,   2.184,   1.581,   0.439, 45,  0,   1.020,   0.567,   0.157,   0.718,   0.102,   0.028,  15.000,  25.000,   0.000,  90.000,  90.000,   12,   1.044
20:55:35:031, 67675113769421,    0.655,   38.000,  900,   3.206,   2.797,   0.777,   1.220,   1.716,   0.477, 43,  0,   0.919,   0.669,   0.186,   0.645,   0.173,   0.048,  15.000,  25.000,   0.000,  90.000,  90.000,   20,   0.247
20:55:35:146, 67675390954960,    0.770,   22.000, 2300,   4.378,   3.303,   0.917,   2.301,   1.982,   0.551, 44,  0,   1.060,   0.791,   0.220,   0.670,   0.251,   0.070,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.159
20:55:35:268, 67675683505189,    0.892,   40.000, 2300,   4.503,   3.852,   1.070,   2.456,   2.281,   0.634, 44,  0,   1.060,   0.921,   0.256,   0.632,   0.328,   0.091,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.058
20:55:35:379, 67675948949938,    1.003,   43.000, 2300,   6.562,   4.577,   1.272,   4.549,   2.784,   0.773, 45,  0,   1.106,   1.043,   0.290,   0.677,   0.403,   0.112,  15.000,  25.000,   0.000,  90.000,  90.000,   12,   1.461
20:55:35:487, 67676207915032,    1.111,   30.000,  900,   3.992,   5.008,   1.391,   2.024,   3.003,   0.834, 44,  0,   0.936,   1.144,   0.318,   0.630,   0.470,   0.131,  15.000,  25.000,   0.000,  90.000,  90.000,   17,   0.000
20:55:35:597, 67676471545214,    1.221,   29.000, 2700,   5.706,   5.635,   1.565,   3.709,   3.410,   0.947, 48,  0,   1.080,   1.262,   0.351,   0.676,   0.545,   0.151,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.234
20:55:35:703, 67676727359500,    1.327,   12.000, 1400,   3.873,   6.048,   1.680,   1.935,   3.616,   1.005, 44,  0,   0.850,   1.353,   0.376,   0.640,   0.613,   0.170,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
20:55:35:810, 67676984670005,    1.434,   15.000, 1100,   2.806,   6.349,   1.764,   0.871,   3.710,   1.031, 43,  0,   0.806,   1.440,   0.400,   0.634,   0.681,   0.189,  15.000,  25.000,   0.000,  90.000,  90.000,   17,   0.000
20:55:35:919, 67677245233935,    1.543,   32.000, 1000,   3.166,   6.692,   1.859,   1.200,   3.840,   1.067, 43,  0,   0.829,   1.530,   0.425,   0.680,   0.755,   0.210,  15.000,  25.000,   0.000,  90.000,  90.000,   32,   0.000
