System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:19:29:671, 27918268920221,    0.104,   94.000, 2700,  10.603,   1.100,   0.305,   8.825,   0.915,   0.254, 56,  0,   1.808,   0.188,   0.052,   0.278,   0.029,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,   47,   8.254
16:19:29:781, 27918530913851,    0.213,   88.000, 2700,  10.138,   2.206,   0.613,   8.408,   1.833,   0.509, 58,  0,   1.801,   0.384,   0.107,   0.230,   0.054,   0.015,  15.000,  25.000,   0.000,  90.000,  90.000,   40,   6.294
16:19:29:885, 27918782115507,    0.318,   59.000, 2700,   9.050,   3.154,   0.876,   7.345,   2.602,   0.723, 55,  0,   1.414,   0.532,   0.148,   0.092,   0.064,   0.018,  15.000,  25.000,   0.000,  90.000,  90.000,   13,   1.087
16:19:29:995, 27919045068514,    0.427,   99.000, 2700,  10.617,   4.317,   1.199,   8.889,   3.576,   0.993, 56,  0,   1.897,   0.740,   0.206,   0.108,   0.075,   0.021,  15.000,  25.000,   0.000,  90.000,  90.000,   18,   1.337
16:19:30:106, 27919313000584,    0.539,   99.000, 2700,  10.407,   5.479,   1.522,   8.740,   4.552,   1.264, 56,  0,   2.030,   0.967,   0.269,   0.082,   0.085,   0.023,  15.000,  25.000,   0.000,  90.000,  90.000,    9,   0.686
16:19:30:240, 27919649826882,    0.679,   54.000, 2700,  10.001,   6.882,   1.912,   8.443,   5.736,   1.593, 57,  0,   1.710,   1.207,   0.335,   0.097,   0.098,   0.027,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   0.785
16:19:30:332, 27919853592308,    0.764,   38.000, 2700,   7.998,   7.561,   2.100,   6.542,   6.292,   1.748, 55,  0,   1.070,   1.298,   0.360,   0.050,   0.102,   0.028,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.688
16:19:30:435, 27920102052808,    0.868,   52.000, 2700,   9.105,   8.504,   2.362,   7.593,   7.078,   1.966, 57,  0,   0.990,   1.400,   0.389,   0.014,   0.104,   0.029,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:30:548, 27920373544024,    0.981,   39.000, 2700,   8.403,   9.454,   2.626,   6.803,   7.848,   2.180, 56,  0,   1.130,   1.528,   0.424,   0.015,   0.106,   0.029,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:30:658, 27920635883758,    1.090,   29.000, 2700,   7.395,  10.263,   2.851,   5.864,   8.489,   2.358, 54,  0,   1.040,   1.642,   0.456,   0.014,   0.107,   0.030,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:30:765, 27920892396029,    1.197,   25.000, 2700,   6.776,  10.987,   3.052,   5.194,   9.044,   2.512, 53,  0,   1.027,   1.751,   0.486,   0.018,   0.109,   0.030,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:30:874, 27921155013706,    1.306,   29.000, 2700,   7.398,  11.797,   3.277,   5.794,   9.678,   2.688, 53,  0,   1.064,   1.868,   0.519,   0.015,   0.111,   0.031,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:30:981, 27921411189314,    1.413,   29.000, 2700,   7.354,  12.581,   3.495,   5.804,  10.297,   2.860, 53,  0,   1.069,   1.982,   0.551,   0.041,   0.115,   0.032,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.280
16:19:31:090, 27921673630377,    1.522,   28.000, 2700,   7.314,  13.381,   3.717,   5.715,  10.922,   3.034, 53,  0,   1.031,   2.095,   0.582,   0.016,   0.117,   0.032,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
16:19:31:244, 27922059581076,    1.683,   61.000, 2700,   7.602,  14.604,   4.057,   6.015,  11.889,   3.303, 54,  0,   1.135,   2.277,   0.633,   0.050,   0.125,   0.035,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.952
16:19:31:317, 27922219226597,    1.750,   30.000, 2700,   7.239,  15.085,   4.190,   5.477,  12.254,   3.404, 51,  0,   1.229,   2.359,   0.655,   0.059,   0.129,   0.036,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.540
16:19:31:428, 27922485861566,    1.861,   16.000, 2700,   2.996,  15.418,   4.283,   1.530,  12.424,   3.451, 49,  0,   0.947,   2.464,   0.684,   0.017,   0.131,   0.036,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:31:534, 27922738827493,    1.966,   28.000, 2700,   7.381,  16.196,   4.499,   5.882,  13.044,   3.623, 53,  0,   1.010,   2.571,   0.714,   0.014,   0.132,   0.037,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:31:649, 27923015139377,    2.081,   28.000, 2700,   7.565,  17.067,   4.741,   5.956,  13.729,   3.814, 54,  0,   1.040,   2.690,   0.747,   0.016,   0.134,   0.037,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
16:19:31:751, 27923259054673,    2.183,   28.000, 2700,   7.268,  17.806,   4.946,   5.953,  14.334,   3.982, 54,  0,   0.899,   2.782,   0.773,   0.015,   0.136,   0.038,  15.000,  25.000,   0.000,  90.000,  90.000,  119,   0.000
16:19:31:860, 27923522628267,    2.293,   12.000,  800,   3.211,  18.158,   5.044,   1.726,  14.524,   4.034, 48,  0,   0.930,   2.884,   0.801,   0.013,   0.137,   0.038,  15.000,  25.000,   0.000,  90.000,  90.000,    9,   0.000
16:19:31:967, 27923779250300,    2.400,   12.000,  700,   1.944,  18.366,   5.102,   0.490,  14.576,   4.049, 47,  0,   0.793,   2.969,   0.825,   0.179,   0.156,   0.043,  15.000,  25.000,   0.000,  90.000,  90.000,   35,   0.320
16:19:32:076, 27924041444364,    2.509,   25.000,  700,   2.298,  18.617,   5.171,   0.746,  14.658,   4.072, 46,  0,   0.786,   3.054,   0.848,   0.273,   0.186,   0.052,  15.000,  25.000,   0.000,  90.000,  90.000,   44,   0.000
16:19:32:183, 27924296838568,    2.615,   31.000, 2700,   6.510,  19.310,   5.364,   4.603,  15.148,   4.208, 53,  0,   1.003,   3.161,   0.878,   0.381,   0.226,   0.063,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.000
