System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:50:30:640, 6464700600204,    0.095,   11.000, 2700,   4.628,   0.438,   0.122,   2.441,   0.231,   0.064, 48,  0,   0.965,   0.091,   0.025,   0.630,   0.060,   0.017,  15.000,  25.000,   0.000,  90.000,  90.000,    9,   0.668
13:50:30:778, 6465031192235,    0.232,   18.000, 2700,   4.565,   1.067,   0.296,   2.407,   0.562,   0.156, 49,  0,   1.044,   0.235,   0.065,   0.630,   0.146,   0.041,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.209
13:50:30:887, 6465293015022,    0.341,   41.000, 2100,   3.606,   1.460,   0.406,   1.534,   0.730,   0.203, 48,  0,   1.031,   0.348,   0.097,   0.629,   0.215,   0.060,  15.000,  25.000,   0.000,  90.000,  90.000,    7,   0.109
13:50:30:994, 6465550230968,    0.449,   14.000, 1200,   4.165,   1.906,   0.530,   2.024,   0.947,   0.263, 47,  0,   0.966,   0.451,   0.125,   0.634,   0.283,   0.079,  15.000,  25.000,   0.000,  90.000,  90.000,   17,   0.000
13:50:31:099, 6465803021372,    0.554,    4.000, 2300,   3.479,   2.273,   0.631,   1.386,   1.093,   0.304, 47,  0,   0.841,   0.540,   0.150,   0.657,   0.352,   0.098,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
13:50:31:210, 6466067782790,    0.664,    5.000, 2300,   3.253,   2.632,   0.731,   1.175,   1.222,   0.340, 47,  0,   0.854,   0.634,   0.176,   0.616,   0.420,   0.117,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
13:50:31:321, 6466336420742,    0.776,   51.000, 2700,   8.044,   3.532,   0.981,   5.805,   1.872,   0.520, 51,  0,   1.406,   0.791,   0.220,   0.623,   0.490,   0.136,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
13:50:31:421, 6466576140943,    0.876,   35.000, 2300,   6.399,   4.171,   1.159,   4.114,   2.283,   0.634, 49,  0,   1.198,   0.911,   0.253,   0.627,   0.552,   0.153,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
13:50:31:531, 6466840479359,    0.986,   36.000,  900,   3.848,   4.595,   1.276,   1.881,   2.490,   0.692, 48,  0,   0.868,   1.007,   0.280,   0.648,   0.624,   0.173,  15.000,  25.000,   0.000,  90.000,  90.000,   33,   0.832
13:50:31:641, 6467104631045,    1.096,    6.000, 2700,   4.007,   5.036,   1.399,   1.773,   2.685,   0.746, 48,  0,   0.968,   1.113,   0.309,   0.703,   0.701,   0.195,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.129
13:50:31:757, 6467381810687,    1.212,    7.000, 2300,   3.538,   5.445,   1.512,   1.451,   2.853,   0.792, 47,  0,   0.877,   1.214,   0.337,   0.633,   0.774,   0.215,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.156
13:50:31:885, 6467688591727,    1.340,    6.000, 2300,   3.405,   5.880,   1.633,   1.314,   3.021,   0.839, 47,  0,   0.869,   1.325,   0.368,   0.623,   0.854,   0.237,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
13:50:31:995, 6467953969128,    1.450,   23.000, 1100,   3.148,   6.228,   1.730,   1.096,   3.142,   0.873, 47,  0,   0.832,   1.417,   0.394,   0.622,   0.923,   0.256,  15.000,  25.000,   0.000,  90.000,  90.000,   24,   0.000
13:50:32:106, 6468219544264,    1.561,   77.000, 2700,   8.793,   7.201,   2.000,   6.529,   3.864,   1.073, 52,  0,   1.596,   1.594,   0.443,   0.682,   0.998,   0.277,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.000
13:50:32:214, 6468479701547,    1.669,   90.000, 2700,  10.723,   8.363,   2.323,   8.483,   4.784,   1.329, 55,  0,   1.894,   1.799,   0.500,   0.623,   1.065,   0.296,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
13:50:32:327, 6468750888252,    1.782,   28.000, 1100,   6.610,   9.110,   2.531,   4.375,   5.278,   1.466, 50,  0,   1.235,   1.939,   0.539,   0.623,   1.136,   0.316,  15.000,  25.000,   0.000,  90.000,  90.000,   13,   0.003
