System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:48:45:986, 14853456418637,    0.116,   24.000, 2700,   4.754,   0.552,   0.153,   3.067,   0.356,   0.099, 48,  0,   1.048,   0.122,   0.034,   0.088,   0.010,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,   11,   0.829
14:48:46:109, 14853759837349,    0.243,   99.000, 2700,  10.259,   1.849,   0.514,   8.474,   1.428,   0.397, 54,  0,   1.655,   0.331,   0.092,   0.089,   0.021,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,   12,   1.413
14:48:46:210, 14853993748436,    0.340,   89.000, 2700,   9.968,   2.821,   0.784,   8.231,   2.230,   0.619, 53,  0,   1.725,   0.499,   0.139,   0.060,   0.027,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   0.445
14:48:46:314, 14854244709358,    0.445,   34.000,  900,   3.411,   3.178,   0.883,   1.998,   2.439,   0.677, 46,  0,   0.891,   0.592,   0.165,   0.023,   0.030,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,   23,   0.000
14:48:46:438, 14854541175797,    0.568,   32.000, 2700,   5.958,   3.914,   1.087,   4.338,   2.975,   0.826, 50,  0,   0.920,   0.706,   0.196,   0.203,   0.055,   0.015,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:46:546, 14854800836437,    0.676,   16.000, 1000,   4.024,   4.349,   1.208,   2.121,   3.204,   0.890, 44,  0,   0.847,   0.798,   0.222,   0.564,   0.116,   0.032,  15.000,  25.000,   0.000,  90.000,  90.000,   16,   0.000
14:48:46:654, 14855060722542,    0.785,   30.000, 1000,   3.298,   4.706,   1.307,   1.237,   3.338,   0.927, 44,  0,   0.883,   0.893,   0.248,   0.614,   0.182,   0.051,  15.000,  25.000,   0.000,  90.000,  90.000,   29,   0.000
14:48:46:793, 14855394015413,    0.924,   35.000, 2700,   6.895,   5.664,   1.573,   4.735,   3.996,   1.110, 48,  0,   0.989,   1.030,   0.286,   0.639,   0.271,   0.075,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:46:905, 14855660753628,    1.035,   21.000, 2300,   5.083,   6.229,   1.730,   2.989,   4.328,   1.202, 45,  0,   0.954,   1.136,   0.316,   0.585,   0.336,   0.093,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:47:014, 14855923414547,    1.144,    5.000, 2300,   3.146,   6.573,   1.826,   1.123,   4.451,   1.236, 44,  0,   0.839,   1.228,   0.341,   0.575,   0.399,   0.111,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:47:137, 14856219514359,    1.268,   50.000, 2700,   5.058,   7.197,   1.999,   3.025,   4.824,   1.340, 46,  0,   0.939,   1.344,   0.373,   0.612,   0.475,   0.132,  15.000,  25.000,   0.000,  90.000,  90.000,   13,   1.370
14:48:47:240, 14856465074598,    1.370,   39.000, 2700,   7.649,   7.980,   2.217,   5.657,   5.403,   1.501, 49,  0,   1.033,   1.450,   0.403,   0.574,   0.533,   0.148,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.166
14:48:47:347, 14856722474362,    1.477,    6.000, 2300,   3.405,   8.345,   2.318,   1.316,   5.544,   1.540, 45,  0,   0.880,   1.544,   0.429,   0.584,   0.596,   0.166,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:48:47:469, 14857015034506,    1.599,   17.000, 2300,   4.082,   8.842,   2.456,   1.982,   5.785,   1.607, 44,  0,   0.996,   1.666,   0.463,   0.583,   0.667,   0.185,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:48:47:589, 14857303026258,    1.719,   43.000, 2700,   7.054,   9.689,   2.691,   5.050,   6.391,   1.775, 48,  0,   1.117,   1.800,   0.500,   0.572,   0.736,   0.204,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:47:693, 14857554441900,    1.824,   38.000, 1000,   6.904,  10.412,   2.892,   4.912,   6.906,   1.918, 47,  0,   0.986,   1.903,   0.529,   0.566,   0.795,   0.221,  15.000,  25.000,   0.000,  90.000,  90.000,   28,   0.000
14:48:47:812, 14857838098220,    1.942,   15.000,  900,   3.383,  10.812,   3.003,   1.390,   7.070,   1.964, 44,  0,   0.854,   2.004,   0.557,   0.672,   0.875,   0.243,  15.000,  25.000,   0.000,  90.000,  90.000,   31,   0.000
14:48:47:930, 14858121399591,    2.060,   25.000, 2700,   4.411,  11.333,   3.148,   2.369,   7.350,   2.042, 45,  0,   0.968,   2.118,   0.588,   0.691,   0.956,   0.266,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   1.148
14:48:48:041, 14858387983268,    2.171,   27.000, 2700,   3.584,  11.731,   3.259,   1.572,   7.525,   2.090, 46,  0,   0.918,   2.220,   0.617,   0.623,   1.025,   0.285,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.096
14:48:48:151, 14858653131731,    2.282,   82.000, 2700,  10.164,  12.854,   3.570,   7.887,   8.396,   2.332, 53,  0,   1.298,   2.364,   0.657,   0.668,   1.099,   0.305,  15.000,  25.000,   0.000,  90.000,  90.000,   15,   2.239
14:48:48:250, 14858911554328,    2.389,   94.000, 2700,  10.853,  14.022,   3.895,   8.492,   9.310,   2.586, 53,  0,   1.726,   2.550,   0.708,   0.715,   1.176,   0.327,  15.000,  25.000,   0.000,  90.000,  90.000,   27,   5.094
14:48:48:367, 14859171130123,    2.497,   64.000, 2700,   9.386,  15.037,   4.177,   7.331,  10.103,   2.806, 51,  0,   1.662,   2.729,   0.758,   0.336,   1.213,   0.337,  15.000,  25.000,   0.000,  90.000,  90.000,   38,   6.259
14:48:48:480, 14859442173588,    2.610,   80.000, 2700,   9.829,  16.147,   4.485,   7.928,  10.999,   3.055, 52,  0,   1.854,   2.939,   0.816,   0.092,   1.223,   0.340,  15.000,  25.000,   0.000,  90.000,  90.000,   16,   0.956
14:48:48:590, 14859706923413,    2.721,   94.000, 2700,  10.491,  17.305,   4.807,   8.654,  11.953,   3.320, 54,  0,   1.728,   3.129,   0.869,   0.071,   1.231,   0.342,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.306
14:48:48:697, 14859963103388,    2.827,   60.000, 2300,   9.053,  18.271,   5.075,   7.279,  12.730,   3.536, 52,  0,   1.548,   3.295,   0.915,   0.014,   1.232,   0.342,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:48:807, 14860225729872,    2.937,    8.000, 2300,   3.250,  18.627,   5.174,   1.743,  12.921,   3.589, 47,  0,   1.015,   3.406,   0.946,   0.017,   1.234,   0.343,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:48:913, 14860482527376,    3.044,   18.000, 1300,   2.006,  18.841,   5.234,   0.601,  12.985,   3.607, 45,  0,   0.880,   3.500,   0.972,   0.015,   1.236,   0.343,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   0.000
14:48:49:023, 14860745139153,    3.153,   17.000, 1300,   2.455,  19.110,   5.308,   0.858,  13.079,   3.633, 44,  0,   0.972,   3.606,   1.002,   0.083,   1.245,   0.346,  15.000,  25.000,   0.000,  90.000,  90.000,   18,   0.004
14:48:49:129, 14860999797878,    3.259,   29.000, 2700,   5.766,  19.722,   5.478,   4.033,  13.507,   3.752, 49,  0,   1.016,   3.714,   1.032,   0.207,   1.267,   0.352,  15.000,  25.000,   0.000,  90.000,  90.000,   13,   1.909
14:48:49:247, 14861281638970,    3.377,   34.000, 2700,   6.770,  20.517,   5.699,   5.279,  14.127,   3.924, 49,  0,   0.958,   3.827,   1.063,   0.013,   1.268,   0.352,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:49:345, 14861519246400,    3.476,   12.000, 2700,   3.655,  20.879,   5.800,   2.091,  14.334,   3.982, 46,  0,   0.988,   3.924,   1.090,   0.017,   1.270,   0.353,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:49:464, 14861802599856,    3.594,    7.000, 2700,   2.992,  21.232,   5.898,   1.430,  14.503,   4.029, 45,  0,   0.999,   4.042,   1.123,   0.014,   1.272,   0.353,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:49:561, 14862037401371,    3.692,    7.000, 2700,   2.946,  21.520,   5.978,   1.393,  14.639,   4.066, 45,  0,   1.002,   4.140,   1.150,   0.011,   1.273,   0.354,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:49:678, 14862317348694,    3.808,   10.000, 2700,   3.266,  21.901,   6.084,   1.702,  14.838,   4.122, 45,  0,   1.023,   4.260,   1.183,   0.011,   1.274,   0.354,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:49:793, 14862594572867,    3.924,    9.000, 2700,   3.235,  22.275,   6.187,   1.697,  15.034,   4.176, 45,  0,   1.001,   4.375,   1.215,   0.012,   1.276,   0.354,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:48:49:899, 14862848081266,    4.029,   13.000, 2700,   3.780,  22.674,   6.298,   2.190,  15.265,   4.240, 46,  0,   1.092,   4.491,   1.247,   0.017,   1.277,   0.355,  15.000,  25.000,   0.000,  90.000,  90.000,  132,   0.000
14:48:50:009, 14863114055075,    4.140,   11.000,  600,   2.112,  22.908,   6.363,   0.718,  15.345,   4.262, 43,  0,   0.860,   4.586,   1.274,   0.012,   1.279,   0.355,  15.000,  25.000,   0.000,  90.000,  90.000,   11,   0.000
14:48:50:116, 14863368374897,    4.246,   33.000, 2700,   4.376,  23.372,   6.492,   2.554,  15.615,   4.338, 48,  0,   0.961,   4.688,   1.302,   0.388,   1.320,   0.367,  15.000,  25.000,   0.000,  90.000,  90.000,   16,   1.928
14:48:50:233, 14863649352300,    4.363,   16.000, 2700,   4.978,  23.955,   6.654,   2.943,  15.960,   4.433, 45,  0,   0.989,   4.804,   1.334,   0.577,   1.387,   0.385,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:48:50:348, 14863926192108,    4.479,    7.000, 1000,   2.384,  24.230,   6.730,   0.565,  16.025,   4.451, 44,  0,   0.749,   4.890,   1.358,   0.579,   1.454,   0.404,  15.000,  25.000,   0.000,  90.000,  90.000,   16,   0.000
14:48:50:466, 14864209272054,    4.597,   12.000,  900,   2.642,  24.541,   6.817,   0.751,  16.114,   4.476, 43,  0,   0.814,   4.986,   1.385,   0.625,   1.528,   0.424,  15.000,  25.000,   0.000,  90.000,  90.000,   24,   0.776
14:48:50:561, 14864436817288,    4.691,    9.000, 1100,   2.969,  24.823,   6.895,   1.095,  16.218,   4.505, 43,  0,   0.807,   5.063,   1.406,   0.595,   1.584,   0.440,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.000
14:48:50:685, 14864733614451,    4.815,   23.000,  900,   2.557,  25.139,   6.983,   0.661,  16.299,   4.528, 43,  0,   0.811,   5.163,   1.434,   0.573,   1.655,   0.460,  15.000,  25.000,   0.000,  90.000,  90.000,   34,   0.000
14:48:50:794, 14864996500671,    4.925,   16.000, 1200,   3.953,  25.572,   7.103,   1.800,  16.497,   4.582, 44,  0,   0.918,   5.263,   1.462,   0.666,   1.728,   0.480,  15.000,  25.000,   0.000,  90.000,  90.000,   43,   0.000
14:48:50:902, 14865255871256,    5.033,   15.000, 1100,   3.801,  25.983,   7.217,   1.693,  16.680,   4.633, 44,  0,   0.864,   5.357,   1.488,   0.642,   1.797,   0.499,  15.000,  25.000,   0.000,  90.000,  90.000,   37,   0.000
14:48:51:012, 14865518212515,    5.142,   16.000, 1200,   3.559,  26.372,   7.326,   1.441,  16.837,   4.677, 44,  0,   0.851,   5.450,   1.514,   0.671,   1.871,   0.520,  15.000,  25.000,   0.000,  90.000,  90.000,   32,   0.003
14:48:51:118, 14865774073594,    5.249,   31.000, 2700,   4.574,  26.859,   7.461,   2.377,  17.090,   4.747, 46,  0,   0.995,   5.556,   1.543,   0.685,   1.944,   0.540,  15.000,  25.000,   0.000,  90.000,  90.000,   20,   3.024
14:48:51:228, 14866036784136,    5.358,   10.000, 1200,   3.257,  27.216,   7.560,   1.205,  17.222,   4.784, 44,  0,   0.885,   5.653,   1.570,   0.586,   2.008,   0.558,  15.000,  25.000,   0.000,  90.000,  90.000,   11,   0.168
