System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:26:34:692, 37578311572166,    0.109,   68.000, 2700,   9.214,   1.003,   0.279,   7.627,   0.830,   0.231, 54,  0,   1.679,   0.183,   0.051,   0.087,   0.010,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   0.731
17:26:34:806, 37578583801838,    0.222,   19.000, 2300,   4.630,   1.528,   0.424,   3.031,   1.174,   0.326, 49,  0,   1.134,   0.311,   0.086,   0.043,   0.014,   0.004,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.167
17:26:34:911, 37578837600532,    0.328,   55.000, 2700,   4.870,   2.043,   0.567,   3.275,   1.520,   0.422, 51,  0,   1.156,   0.434,   0.120,   0.084,   0.023,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,   11,   1.131
17:26:35:022, 37579102868630,    0.439,   13.000, 2300,   3.627,   2.444,   0.679,   1.929,   1.734,   0.482, 48,  0,   1.093,   0.554,   0.154,   0.060,   0.030,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   0.818
17:26:35:126, 37579353813659,    0.543,   13.000, 2300,   3.241,   2.783,   0.773,   1.662,   1.907,   0.530, 47,  0,   1.048,   0.664,   0.184,   0.019,   0.032,   0.009,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
17:26:35:239, 37579623051562,    0.655,   26.000, 2700,   5.853,   3.439,   0.955,   4.242,   2.383,   0.662, 52,  0,   1.056,   0.782,   0.217,   0.038,   0.036,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.215
17:26:35:342, 37579871711787,    0.759,   20.000,  800,   4.878,   3.945,   1.096,   3.474,   2.743,   0.762, 47,  0,   0.878,   0.873,   0.243,   0.014,   0.038,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,   29,   0.000
17:26:35:469, 37580177174076,    0.886,   11.000,  800,   2.278,   4.235,   1.176,   0.771,   2.841,   0.789, 46,  0,   0.762,   0.970,   0.270,   0.230,   0.067,   0.019,  15.000,  25.000,   0.000,  90.000,  90.000,   25,   0.000
17:26:35:589, 37580463560547,    1.005,    8.000,  900,   2.903,   4.581,   1.273,   0.951,   2.955,   0.821, 45,  0,   0.785,   1.064,   0.296,   0.691,   0.149,   0.041,  15.000,  25.000,   0.000,  90.000,  90.000,   17,   0.275
17:26:35:695, 37580719388046,    1.112,   16.000, 1100,   2.551,   4.853,   1.348,   0.646,   3.024,   0.840, 45,  0,   0.756,   1.145,   0.318,   0.654,   0.219,   0.061,  15.000,  25.000,   0.000,  90.000,  90.000,   43,   0.000
17:26:35:808, 37580989686688,    1.225,   13.000,  900,   3.440,   5.240,   1.456,   1.420,   3.184,   0.884, 45,  0,   0.798,   1.235,   0.343,   0.734,   0.302,   0.084,  15.000,  25.000,   0.000,  90.000,  90.000,   38,   0.000
17:26:35:912, 37581238657331,    1.328,   26.000, 2700,   4.726,   5.731,   1.592,   2.731,   3.467,   0.963, 47,  0,   0.821,   1.320,   0.367,   0.719,   0.376,   0.105,  15.000,  25.000,   0.000,  90.000,  90.000,   12,   1.482
17:26:36:025, 37581510158990,    1.442,    5.000, 1000,   2.656,   6.031,   1.675,   0.768,   3.554,   0.987, 45,  0,   0.762,   1.406,   0.391,   0.626,   0.447,   0.124,  15.000,  25.000,   0.000,  90.000,  90.000,    9,   0.000
17:26:36:128, 37581757220872,    1.545,   14.000,  900,   2.549,   6.294,   1.748,   0.617,   3.617,   1.005, 45,  0,   0.771,   1.485,   0.413,   0.645,   0.513,   0.143,  15.000,  25.000,   0.000,  90.000,  90.000,   31,   0.000
17:26:36:241, 37582028010793,    1.657,    9.000,  900,   3.340,   6.670,   1.853,   1.363,   3.771,   1.047, 45,  0,   0.799,   1.575,   0.438,   0.697,   0.592,   0.164,  15.000,  25.000,   0.000,  90.000,  90.000,   24,   0.000
17:26:36:344, 37582275255534,    1.760,   25.000,  900,   2.788,   6.958,   1.933,   0.832,   3.857,   1.071, 45,  0,   0.789,   1.657,   0.460,   0.677,   0.662,   0.184,  15.000,  25.000,   0.000,  90.000,  90.000,   29,   0.042
17:26:36:471, 37582580198042,    1.887,   13.000,  900,   3.163,   7.359,   2.044,   1.115,   3.998,   1.111, 45,  0,   0.859,   1.766,   0.491,   0.680,   0.748,   0.208,  15.000,  25.000,   0.000,  90.000,  90.000,   24,   0.299
17:26:36:576, 37582831804556,    1.992,   15.000,  900,   2.965,   7.670,   2.131,   0.956,   4.099,   1.138, 45,  0,   0.844,   1.854,   0.515,   0.690,   0.821,   0.228,  15.000,  25.000,   0.000,  90.000,  90.000,   40,   0.213
17:26:36:697, 37583123725692,    2.114,   18.000,  900,   3.078,   8.045,   2.235,   1.114,   4.234,   1.176, 46,  0,   0.768,   1.948,   0.541,   0.704,   0.906,   0.252,  15.000,  25.000,   0.000,  90.000,  90.000,   33,   0.000
17:26:36:809, 37583392235808,    2.226,   30.000, 2700,   6.551,   8.778,   2.438,   4.409,   4.727,   1.313, 49,  0,   1.082,   2.069,   0.575,   0.704,   0.985,   0.274,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
17:26:36:929, 37583681081524,    2.346,   25.000, 2700,   5.714,   9.465,   2.629,   3.549,   5.154,   1.432, 48,  0,   0.998,   2.189,   0.608,   0.650,   1.063,   0.295,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   1.253
17:26:37:042, 37583950473628,    2.458,    6.000, 2300,   3.461,   9.854,   2.737,   1.352,   5.306,   1.474, 47,  0,   0.879,   2.288,   0.635,   0.625,   1.134,   0.315,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
17:26:37:146, 37584200048110,    2.562,   11.000,  900,   2.981,  10.164,   2.823,   0.997,   5.410,   1.503, 46,  0,   0.840,   2.375,   0.660,   0.624,   1.198,   0.333,  15.000,  25.000,   0.000,  90.000,  90.000,   18,   0.000
17:26:37:273, 37584504767221,    2.689,    8.000,  900,   2.564,  10.489,   2.914,   0.643,   5.491,   1.525, 46,  0,   0.755,   2.471,   0.686,   0.664,   1.283,   0.356,  15.000,  25.000,   0.000,  90.000,  90.000,   25,   0.000
17:26:37:377, 37584756286374,    2.794,   36.000,  900,   2.856,  10.789,   2.997,   0.924,   5.588,   1.552, 45,  0,   0.751,   2.549,   0.708,   0.698,   1.356,   0.377,  15.000,  25.000,   0.000,  90.000,  90.000,   31,   0.000
17:26:37:483, 37585037595066,    2.911,   54.000, 2700,   7.855,  11.709,   3.253,   5.594,   6.244,   1.734, 52,  0,   1.196,   2.690,   0.747,   0.691,   1.437,   0.399,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
17:26:37:593, 37585274296160,    3.010,   97.000, 2700,  10.835,  12.778,   3.549,   8.299,   7.062,   1.962, 54,  0,   1.920,   2.879,   0.800,   0.780,   1.514,   0.420,  15.000,  25.000,   0.000,  90.000,  90.000,   46,   8.779
17:26:37:700, 37585529024288,    3.116,   59.000, 2700,   9.452,  13.781,   3.828,   6.955,   7.801,   2.167, 53,  0,   1.625,   3.051,   0.848,   0.753,   1.594,   0.443,  15.000,  25.000,   0.000,  90.000,  90.000,   44,   7.232
17:26:37:812, 37585798172371,    3.228,   39.000, 2300,   8.493,  14.734,   4.093,   6.095,   8.484,   2.357, 51,  0,   1.424,   3.211,   0.892,   0.658,   1.668,   0.463,  15.000,  25.000,   0.000,  90.000,  90.000,   15,   1.037
17:26:37:932, 37586087085412,    3.349,   25.000, 2300,   4.504,  15.276,   4.243,   2.370,   8.769,   2.436, 49,  0,   0.940,   3.324,   0.923,   0.650,   1.746,   0.485,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   1.243
17:26:38:029, 37586318871756,    3.445,   14.000, 1700,   3.009,  15.566,   4.324,   0.985,   8.865,   2.462, 47,  0,   0.875,   3.409,   0.947,   0.628,   1.806,   0.502,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.045
17:26:38:148, 37586606456746,    3.565,    8.000, 1400,   2.852,  15.908,   4.419,   0.823,   8.963,   2.490, 46,  0,   0.845,   3.510,   0.975,   0.629,   1.882,   0.523,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.110
