System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:39:37:683, 200142922368599,    0.118,   12.000, 2300,   2.208,   0.260,   0.072,   1.228,   0.144,   0.040, 44,  0,   0.916,   0.108,   0.030,   0.099,   0.012,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:37:799, 200143199761804,    0.233,   15.000, 2500,   2.761,   0.579,   0.161,   1.799,   0.352,   0.098, 44,  0,   0.872,   0.208,   0.058,   0.087,   0.022,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:37:914, 200143477448960,    0.349,    5.000, 1000,   1.292,   0.728,   0.202,   0.524,   0.413,   0.115, 42,  0,   0.828,   0.304,   0.085,   0.019,   0.024,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:015, 200143718962405,    0.449,    4.000,  900,   0.875,   0.816,   0.227,   0.223,   0.435,   0.121, 42,  0,   0.787,   0.384,   0.107,   0.000,   0.024,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:133, 200144003308472,    0.568,   27.000, 1000,   1.955,   1.048,   0.291,   1.018,   0.556,   0.154, 43,  0,   0.921,   0.493,   0.137,   0.000,   0.024,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:231, 200144240363510,    0.667,   15.000,  900,   1.532,   1.199,   0.333,   0.614,   0.617,   0.171, 42,  0,   0.891,   0.581,   0.161,   0.022,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:346, 200144514295696,    0.781,   16.000, 1000,   1.543,   1.375,   0.382,   0.635,   0.689,   0.191, 42,  0,   0.873,   0.680,   0.189,   0.033,   0.030,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:471, 200144812994540,    0.905,   15.000, 1000,   1.622,   1.577,   0.438,   0.645,   0.769,   0.214, 42,  0,   0.868,   0.788,   0.219,   0.035,   0.034,   0.009,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:583, 200145082558739,    1.018,   26.000, 1000,   2.111,   1.814,   0.504,   0.896,   0.870,   0.242, 42,  0,   0.931,   0.893,   0.248,   0.000,   0.034,   0.009,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:685, 200145327155250,    1.120,   22.000, 1000,   1.982,   2.016,   0.560,   0.938,   0.966,   0.268, 42,  0,   0.922,   0.987,   0.274,   0.029,   0.037,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:804, 200145612493108,    1.238,   21.000, 2700,   2.789,   2.348,   0.652,   1.678,   1.165,   0.324, 43,  0,   0.919,   1.096,   0.304,   0.074,   0.046,   0.013,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:38:902, 200145849233886,    1.337,    6.000, 1000,   1.578,   2.504,   0.695,   0.816,   1.246,   0.346, 42,  0,   0.838,   1.179,   0.327,   0.000,   0.046,   0.013,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:021, 200146132529329,    1.455,    9.000, 1000,   1.241,   2.650,   0.736,   0.459,   1.300,   0.361, 42,  0,   0.821,   1.276,   0.354,   0.000,   0.046,   0.013,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:126, 200146385009239,    1.560,   23.000, 1000,   1.797,   2.839,   0.789,   0.860,   1.390,   0.386, 42,  0,   0.902,   1.370,   0.381,   0.000,   0.046,   0.013,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:239, 200146657445030,    1.674,   12.000,  900,   1.412,   2.999,   0.833,   0.564,   1.454,   0.404, 42,  0,   0.865,   1.469,   0.408,   0.000,   0.046,   0.013,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:349, 200146920852519,    1.784,   58.000, 2700,   4.130,   3.453,   0.959,   2.862,   1.768,   0.491, 45,  0,   1.195,   1.600,   0.444,   0.131,   0.060,   0.017,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:518, 200147328808906,    1.954,   73.000, 2700,   8.600,   4.914,   1.365,   6.536,   2.879,   0.800, 53,  0,   1.569,   1.866,   0.518,   0.613,   0.164,   0.046,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:576, 200147463740598,    2.010,   89.000, 2700,  10.053,   5.480,   1.522,   7.983,   3.328,   0.924, 51,  0,   1.692,   1.962,   0.545,   0.490,   0.192,   0.053,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:685, 200147725807895,    2.119,   55.000, 2300,   7.374,   6.285,   1.746,   6.009,   3.984,   1.107, 47,  0,   1.217,   2.095,   0.582,   0.067,   0.199,   0.055,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
21:39:39:792, 200148012335929,    2.238,   45.000, 2700,   4.259,   6.793,   1.887,   2.896,   4.330,   1.203, 48,  0,   1.020,   2.216,   0.616,   0.052,   0.205,   0.057,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
