System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:12:53:232, 222211922394526,    0.113,   74.000, 2300,   8.729,   0.988,   0.274,   7.068,   0.800,   0.222, 48,  0,   1.449,   0.164,   0.046,   0.098,   0.011,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:53:327, 222212151137294,    0.208,   32.000, 2700,   6.405,   1.598,   0.444,   5.067,   1.283,   0.356, 49,  0,   0.839,   0.244,   0.068,   0.028,   0.014,   0.004,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:53:461, 222212471295749,    0.342,   26.000, 2300,   5.253,   2.299,   0.639,   3.900,   1.803,   0.501, 46,  0,   0.905,   0.365,   0.101,   0.032,   0.018,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:53:571, 222212737200841,    0.453,    6.000,  600,   2.272,   2.551,   0.709,   0.971,   1.911,   0.531, 44,  0,   0.818,   0.455,   0.126,   0.000,   0.018,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:53:678, 222212992097038,    0.559,   13.000, 1000,   1.691,   2.730,   0.758,   0.407,   1.954,   0.543, 43,  0,   0.827,   0.543,   0.151,   0.000,   0.018,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:53:784, 222213247398361,    0.665,   29.000, 2000,   1.986,   2.942,   0.817,   0.714,   2.030,   0.564, 44,  0,   0.820,   0.630,   0.175,   0.000,   0.018,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:53:894, 222213510728410,    0.775,   42.000, 2700,   6.323,   3.635,   1.010,   4.984,   2.577,   0.716, 47,  0,   1.001,   0.740,   0.206,   0.000,   0.018,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:002, 222213771678361,    0.884,   14.000,  800,   2.688,   3.928,   1.091,   1.369,   2.725,   0.757, 43,  0,   0.827,   0.830,   0.231,   0.000,   0.018,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:109, 222214028655817,    0.991,   38.000, 2300,   3.172,   4.267,   1.185,   1.781,   2.916,   0.810, 45,  0,   1.049,   0.942,   0.262,   0.023,   0.020,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:228, 222214312973272,    1.109,   99.000, 2700,  10.351,   5.493,   1.526,   8.716,   3.949,   1.097, 50,  0,   1.624,   1.135,   0.315,   0.080,   0.030,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:330, 222214558906295,    1.212,   97.000, 2700,  10.158,   6.534,   1.815,   8.401,   4.810,   1.336, 50,  0,   1.777,   1.317,   0.366,   0.080,   0.038,   0.011,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:463, 222214878205157,    1.345,   66.000, 2300,   8.228,   7.629,   2.119,   6.578,   5.685,   1.579, 49,  0,   1.513,   1.518,   0.422,   0.096,   0.051,   0.014,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:575, 222215145194632,    1.456,   27.000, 2700,   4.972,   8.182,   2.273,   3.502,   6.074,   1.687, 46,  0,   1.120,   1.643,   0.456,   0.076,   0.059,   0.016,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:680, 222215398540477,    1.562,   22.000, 1300,   3.795,   8.583,   2.384,   2.369,   6.324,   1.757, 45,  0,   0.947,   1.743,   0.484,   0.050,   0.064,   0.018,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:794, 222215670456388,    1.675,   59.000, 2700,   7.222,   9.401,   2.611,   5.677,   6.968,   1.935, 50,  0,   1.370,   1.898,   0.527,   0.058,   0.071,   0.020,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:54:897, 222215918359533,    1.778,   53.000, 2700,   7.590,  10.185,   2.829,   6.109,   7.599,   2.111, 49,  0,   1.174,   2.019,   0.561,   0.053,   0.076,   0.021,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:55:016, 222216204905259,    1.898,   52.000, 2300,   8.105,  11.153,   3.098,   6.594,   8.386,   2.329, 49,  0,   1.185,   2.161,   0.600,   0.046,   0.082,   0.023,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:55:128, 222216474057449,    2.010,   30.000, 2300,   4.846,  11.696,   3.249,   3.383,   8.765,   2.435, 47,  0,   1.163,   2.291,   0.636,   0.062,   0.089,   0.025,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
00:12:55:237, 222216734627058,    2.118,   34.000, 2700,   6.403,  12.391,   3.442,   4.875,   9.295,   2.582, 46,  0,   1.181,   2.419,   0.672,   0.088,   0.098,   0.027,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
