System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:43:58:866, 166211485352029,    0.129,   69.000, 2700,   9.552,   1.235,   0.343,   7.914,   1.023,   0.284, 53,  0,   1.511,   0.195,   0.054,   0.078,   0.010,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:58:973, 166211742844689,    0.237,   58.000, 2700,   8.805,   2.180,   0.605,   7.254,   1.801,   0.500, 53,  0,   1.447,   0.351,   0.097,   0.063,   0.017,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:086, 166212012476575,    0.349,   19.000, 2300,   3.806,   2.607,   0.724,   2.307,   2.061,   0.572, 47,  0,   1.023,   0.466,   0.129,   0.028,   0.020,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:196, 166212276779429,    0.459,    9.000, 2300,   2.664,   2.900,   0.806,   1.120,   2.184,   0.607, 46,  0,   1.034,   0.579,   0.161,   0.000,   0.020,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:304, 166212566002261,    0.580,   32.000, 2700,   3.495,   3.322,   0.923,   1.933,   2.417,   0.671, 48,  0,   1.035,   0.704,   0.196,   0.054,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:426, 166212829567246,    0.689,   14.000, 2400,   3.681,   3.726,   1.035,   2.059,   2.643,   0.734, 46,  0,   1.097,   0.825,   0.229,   0.037,   0.031,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:536, 166213093861502,    0.799,    9.000, 2300,   2.696,   4.023,   1.117,   1.142,   2.769,   0.769, 45,  0,   1.033,   0.938,   0.261,   0.000,   0.031,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:643, 166213350295197,    0.906,    7.000, 1000,   2.389,   4.278,   1.188,   0.905,   2.865,   0.796, 45,  0,   0.961,   1.041,   0.289,   0.000,   0.031,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:752, 166213612024830,    1.015,   25.000, 2300,   2.764,   4.580,   1.272,   1.294,   3.007,   0.835, 45,  0,   0.948,   1.144,   0.318,   0.081,   0.039,   0.011,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
17:43:59:867, 166213887045703,    1.130,   77.000, 2700,   9.690,   5.690,   1.581,   7.771,   3.897,   1.082, 51,  0,   1.631,   1.331,   0.370,   0.192,   0.061,   0.017,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
