System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:14:27:513, 79033066730352,    0.111,   90.000, 2700,  10.580,   1.175,   0.327,   8.972,   0.997,   0.277, 56,  0,   1.994,   0.222,   0.062,   0.070,   0.008,   0.002,  15.000,  25.000,   0.000,  90.000,  90.000,    7,   0.556
22:14:27:622, 79033328053370,    0.220,   91.000, 2700,  10.437,   2.312,   0.642,   8.864,   1.962,   0.545, 56,  0,   1.968,   0.436,   0.121,   0.041,   0.012,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.170
22:14:27:732, 79033592230811,    0.330,   91.000, 2700,  10.132,   3.427,   0.952,   8.574,   2.906,   0.807, 55,  0,   1.962,   0.652,   0.181,   0.033,   0.016,   0.004,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.069
22:14:27:866, 79033915031300,    0.465,   77.000, 2700,   9.984,   4.770,   1.325,   8.518,   4.051,   1.125, 57,  0,   1.707,   0.881,   0.245,   0.056,   0.023,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   1.060
22:14:27:962, 79034144719328,    0.560,   57.000, 2700,   8.809,   5.613,   1.559,   7.365,   4.756,   1.321, 54,  0,   1.408,   1.016,   0.282,   0.040,   0.027,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.206
22:14:28:073, 79034410621393,    0.671,   50.000, 2300,   8.608,   6.567,   1.824,   7.108,   5.544,   1.540, 53,  0,   1.396,   1.171,   0.325,   0.020,   0.029,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
22:14:28:185, 79034679084120,    0.783,    6.000, 2300,   2.882,   6.889,   1.914,   1.367,   5.697,   1.582, 48,  0,   0.926,   1.274,   0.354,   0.014,   0.031,   0.009,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
22:14:28:309, 79034976904642,    0.907,   17.000, 2300,   3.059,   7.269,   2.019,   1.484,   5.881,   1.634, 48,  0,   1.049,   1.404,   0.390,   0.031,   0.035,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   0.234
22:14:28:416, 79035234812286,    1.014,   17.000, 1100,   2.947,   7.586,   2.107,   1.304,   6.021,   1.673, 46,  0,   1.044,   1.517,   0.421,   0.069,   0.042,   0.012,  15.000,  25.000,   0.000,  90.000,  90.000,   30,   0.000
22:14:28:536, 79035520986984,    1.134,   17.000, 1000,   3.189,   7.966,   2.213,   1.421,   6.191,   1.720, 46,  0,   0.966,   1.632,   0.453,   0.240,   0.071,   0.020,  15.000,  25.000,   0.000,  90.000,  90.000,   34,   0.000
