System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:50:14:099, 184392036205611,    0.102,   88.000, 2700,  10.271,   1.045,   0.290,   8.491,   0.864,   0.240, 58,  0,   1.661,   0.169,   0.047,   0.095,   0.010,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:220, 184392326805705,    0.223,   79.000, 2700,   8.882,   2.121,   0.589,   7.304,   1.749,   0.486, 56,  0,   1.324,   0.329,   0.091,   0.080,   0.019,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:320, 184392565889405,    0.322,   43.000, 2700,   8.057,   2.923,   0.812,   6.498,   2.396,   0.666, 55,  0,   1.204,   0.449,   0.125,   0.067,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:427, 184392824262059,    0.430,   75.000, 2700,   9.890,   3.988,   1.108,   8.363,   3.296,   0.916, 57,  0,   1.587,   0.620,   0.172,   0.000,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:535, 184393083554125,    0.538,   85.000, 2700,  10.451,   5.117,   1.421,   8.967,   4.265,   1.185, 59,  0,   1.617,   0.795,   0.221,   0.000,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:643, 184393341838383,    0.646,   92.000, 2700,  10.907,   6.291,   1.748,   9.360,   5.272,   1.465, 59,  0,   1.591,   0.966,   0.268,   0.000,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:766, 184393638017833,    0.769,   76.000, 2700,   9.802,   7.501,   2.084,   8.251,   6.290,   1.747, 59,  0,   1.660,   1.171,   0.325,   0.000,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:874, 184393896877225,    0.877,   70.000, 2700,   9.732,   8.550,   2.375,   8.103,   7.164,   1.990, 59,  0,   1.650,   1.349,   0.375,   0.000,   0.026,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:14:983, 184394159335448,    0.986,   38.000, 2300,   7.352,   9.354,   2.598,   5.599,   7.777,   2.160, 54,  0,   1.249,   1.485,   0.413,   0.039,   0.030,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
19:50:15:090, 184394415768341,    1.093,   51.000, 2700,   8.661,  10.280,   2.855,   6.891,   8.513,   2.365, 56,  0,   1.355,   1.630,   0.453,   0.034,   0.034,   0.009,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
