System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:16:07:543, 87912603718639,    0.131,   65.000, 2700,   9.263,   1.213,   0.337,   7.763,   1.017,   0.282, 55,  0,   1.500,   0.196,   0.055,   0.106,   0.014,   0.004,  15.000,  25.000,   0.000,  90.000,  90.000,   15,   1.873
23:16:07:650, 87912860617428,    0.238,   77.000, 2700,   9.414,   2.221,   0.617,   7.957,   1.868,   0.519, 56,  0,   1.464,   0.353,   0.098,   0.050,   0.019,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.161
23:16:07:760, 87913125171307,    0.348,   47.000, 2700,   9.064,   3.220,   0.894,   7.449,   2.689,   0.747, 56,  0,   1.381,   0.505,   0.140,   0.087,   0.029,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   1.105
23:16:07:870, 87913390046353,    0.459,    7.000, 2300,   3.194,   3.572,   0.992,   1.631,   2.869,   0.797, 50,  0,   0.941,   0.609,   0.169,   0.056,   0.035,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.244
23:16:07:977, 87913646141848,    0.565,   14.000, 2300,   3.263,   3.921,   1.089,   1.718,   3.053,   0.848, 50,  0,   0.998,   0.716,   0.199,   0.015,   0.037,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
23:16:08:086, 87913908336585,    0.675,   31.000, 2700,   6.091,   4.586,   1.274,   4.754,   3.572,   0.992, 52,  0,   0.825,   0.806,   0.224,   0.018,   0.039,   0.011,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
23:16:08:191, 87914160048825,    0.779,   26.000, 2700,   5.289,   5.141,   1.428,   3.704,   3.960,   1.100, 50,  0,   1.057,   0.917,   0.255,   0.015,   0.040,   0.011,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
23:16:08:305, 87914433711038,    0.893,    8.000, 2300,   3.009,   5.484,   1.523,   1.395,   4.120,   1.144, 49,  0,   0.990,   1.030,   0.286,   0.011,   0.042,   0.012,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
23:16:08:410, 87914685044512,    0.998,    8.000, 2300,   2.847,   5.782,   1.606,   1.231,   4.248,   1.180, 48,  0,   0.993,   1.134,   0.315,   0.016,   0.043,   0.012,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
23:16:08:525, 87914961173118,    1.113,   24.000, 2700,   4.783,   6.332,   1.759,   3.171,   4.613,   1.281, 51,  0,   1.020,   1.251,   0.347,   0.014,   0.045,   0.012,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
